"Genotype"	"Background"	"Background.simple"	"Treatment"	"Treatment.V"	"Chamber.ID"	"Chamber.Irradiance"	"Vernalization"	"Daylength"	"Temperature"	"Fluctuation"	"Survival.Bolt"	"Bolt"	"Days.to.Bolt"	"Days.to.Flower"	"Rosette.leaf.num"	"Cauline.leaf.num"	"Blade.length.mm"	"Total.leaf.length.mm"	"Blade.ratio"	"Notes"
"31"	"agl24-1"	"Col"	"Col"	"12VarSD"	"12VarSDNV"	"5T"	"Low"	"NV"	8	12	"Var"	"Y"	"Y"	93	110	58	6	27.4	45.3	0.604856512	""
"32"	"agl24-1"	"Col"	"Col"	"12VarSD"	"12VarSDNV"	"5T"	"Low"	"NV"	8	12	"Var"	"Y"	"Y"	95	113	62	6	25.4	42.2	0.601895735	""
"33"	"agl24-1"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"2B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	20	27	10	3	13	20.6	0.631067961	""
"34"	"agl24-1"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"2B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	22	27	14	3	13.5	23.2	0.581896552	""
"35"	"agl24-1"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"2B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	25	29	16	3	20.6	34.4	0.598837209	""
"36"	"agl24-1"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"2B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	25	30	14	4	21.5	32.7	0.657492355	""
"37"	"agl24-1"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"5B"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	25	31	14	4	NA	NA	NA	""
"38"	"agl24-1"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"5B"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	27	32	14	5	NA	NA	NA	""
"39"	"agl24-1"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"5B"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	27	32	14	4	NA	NA	NA	""
"40"	"agl24-1"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"5B"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	27	32	13	3	NA	NA	NA	""
"41"	"agl24-1"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"4T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	65	72	41	5	NA	NA	NA	""
"42"	"agl24-1"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	68	73	37	7	NA	NA	NA	""
"43"	"agl24-1"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"6T"	"Low"	"NV"	8	22	"Con"	"Y"	"Y"	70	95	61	8	26.2	44.2	0.592760181	"lots of seconary leaves at bolt"
"44"	"agl24-1"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	74	81	50	10	NA	NA	NA	""
"45"	"agl24-1"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"4T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	76	82	50	7	NA	NA	NA	""
"46"	"agl24-1"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	89	99	56	6	NA	NA	NA	""
"47"	"agl24-1"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"4T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	92	101	54	7	NA	NA	NA	""
"48"	"agl24-1"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	115	125	NA	NA	NA	NA	NA	""
"49"	"agl24-1"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"4T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	127	138	NA	NA	NA	NA	NA	""
"50"	"agl24-1"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"7B"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	20	28	9	2	NA	NA	NA	""
"51"	"agl24-1"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"2T"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	22	32	11	2	9	17.4	0.517241379	""
"52"	"agl24-1"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"2T"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	23	30	12	2	13.6	24.4	0.557377049	""
"53"	"agl24-1"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"2T"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	23	30	10	2	13.5	24.2	0.55785124	""
"54"	"agl24-1"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"7B"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	23	29	9	2	NA	NA	NA	""
"55"	"agl24-1"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"2T"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	25	32	7	2	13	25.9	0.501930502	""
"56"	"agl24-1"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"7B"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	25	32	9	2	NA	NA	NA	""
"57"	"agl24-1"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"7B"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	25	32	10	2	NA	NA	NA	""
"58"	"agl24-1"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"6B"	"Low"	"NV"	8	22	"Var"	"Y"	"Y"	56	NA	26	8	33.3	52.8	0.630681818	"stem broke off while watering 6/8"
"59"	"agl24-1"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"3B"	"High"	"NV"	8	22	"Var"	"Y"	"Y"	56	65	33	5	NA	NA	NA	""
"60"	"agl24-1"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"3B"	"High"	"NV"	8	22	"Var"	"Y"	"Y"	59	68	23	7	NA	NA	NA	""
"61"	"agl24-1"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"6B"	"Low"	"NV"	8	22	"Var"	"Y"	"Y"	60	67	38	8	30.3	56.2	0.539145907	""
"62"	"agl24-1"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"3B"	"High"	"NV"	8	22	"Var"	"Y"	"Y"	60	80	37	8	NA	NA	NA	""
"63"	"agl24-1"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"3B"	"High"	"NV"	8	22	"Var"	"Y"	"Y"	63	73	44	5	NA	NA	NA	""
"64"	"agl24-1"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"6B"	"Low"	"NV"	8	22	"Var"	"Y"	"Y"	67	77	39	5	23.9	54.8	0.436131387	""
"65"	"agl24-1"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"6B"	"Low"	"NV"	8	22	"Var"	"Y"	"Y"	68	77	31	5	28.7	53.7	0.534450652	""
"66"	"co-2"	"Ler"	"Ler"	"12ConLD"	"12ConLDNV"	"4T"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	40	56	25	11	18	26.3	0.684410646	""
"67"	"co-2"	"Ler"	"Ler"	"12ConLD"	"12ConLDNV"	"4T"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	44	59	24	11	14.4	22.9	0.628820961	""
"68"	"co-2"	"Ler"	"Ler"	"12ConLD"	"12ConLDNV"	"4T"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	44	60	28	10	21.9	35.2	0.622159091	""
"69"	"co-2"	"Ler"	"Ler"	"12ConLD"	"12ConLDNV"	"7B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	45	66	28	12	22.6	30.9	0.731391586	""
"70"	"co-2"	"Ler"	"Ler"	"12ConLD"	"12ConLDNV"	"4T"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	45	60	26	10	19.1	27	0.707407407	""
"71"	"co-2"	"Ler"	"Ler"	"12ConLD"	"12ConLDNV"	"7B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	47	66	26	12	20.6	31.1	0.662379421	""
"72"	"co-2"	"Ler"	"Ler"	"12ConLD"	"12ConLDNV"	"7B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	47	67	26	10	19.8	29	0.682758621	""
"73"	"co-2"	"Ler"	"Ler"	"12ConLD"	"12ConLDNV"	"7B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	48	69	26	10	22.9	32	0.715625	""
"74"	"co-2"	"Ler"	"Ler"	"12ConSD"	"12ConSDNV"	"3T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	55	75	34	11	17.3	23.8	0.726890756	""
"75"	"co-2"	"Ler"	"Ler"	"12ConSD"	"12ConSDNV"	"3T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	57	78	32	12	19.5	27.3	0.714285714	""
"76"	"co-2"	"Ler"	"Ler"	"12ConSD"	"12ConSDNV"	"3T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	59	79	33	11	12.3	22	0.559090909	""
"77"	"co-2"	"Ler"	"Ler"	"12ConSD"	"12ConSDNV"	"3T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	65	83	38	10	20.3	32.6	0.622699387	""
"78"	"co-2"	"Ler"	"Ler"	"12ConSD"	"12ConSDNV"	"7T"	"Low"	"NV"	8	12	"Con"	"Y"	"Y"	69	92	33	10	23.9	33.2	0.719879518	""
