"Genotype"	"Background"	"Background.simple"	"Treatment"	"Treatment.V"	"Chamber.ID"	"Chamber.Irradiance"	"Vernalization"	"Daylength"	"Temperature"	"Fluctuation"	"Survival.Bolt"	"Bolt"	"Days.to.Bolt"	"Days.to.Flower"	"Rosette.leaf.num"	"Cauline.leaf.num"	"Blade.length.mm"	"Total.leaf.length.mm"	"Blade.ratio"	"Notes"
"872"	"flc-3"	"Col"	"Col"	"12ConLD"	"12ConLDV"	"7B"	"Low"	"V"	16	12	"Con"	"Y"	"Y"	27	40	12	4	12.1	19.9	0.608040201	""
"873"	"flc-3"	"Col"	"Col"	"12ConLD"	"12ConLDV"	"7B"	"Low"	"V"	16	12	"Con"	"Y"	"Y"	27	41	12	4	12.8	21.5	0.595348837	""
"874"	"flc-3"	"Col"	"Col"	"12ConLD"	"12ConLDV"	"7B"	"Low"	"V"	16	12	"Con"	"Y"	"Y"	27	41	12	3	8.2	14.5	0.565517241	""
"875"	"flc-3"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"3T"	"High"	"V"	8	12	"Con"	"Y"	"Y"	61	79	46	10	13.5	30	0.45	""
"876"	"flc-3"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"3T"	"High"	"V"	8	12	"Con"	"Y"	"Y"	61	79	46	10	25.5	35.5	0.718309859	""
"877"	"flc-3"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"3T"	"High"	"V"	8	12	"Con"	"Y"	"Y"	62	79	46	8	21.1	33.8	0.624260355	""
"878"	"flc-3"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"3T"	"High"	"V"	8	12	"Con"	"Y"	"Y"	62	81	44	10	15.5	29.6	0.523648649	""
"879"	"flc-3"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"7T"	"Low"	"V"	8	12	"Con"	"Y"	"Y"	69	92	43	9	23.7	36.6	0.647540984	""
"880"	"flc-3"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"7T"	"Low"	"V"	8	12	"Con"	"Y"	"Y"	75	98	49	9	26.4	43.3	0.609699769	""
"881"	"flc-3"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"7T"	"Low"	"V"	8	12	"Con"	"Y"	"Y"	75	97	45	9	33.5	50.7	0.660749507	""
"882"	"flc-3"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"7T"	"Low"	"V"	8	12	"Con"	"Y"	"Y"	78	99	38	7	23.2	36.8	0.630434783	""
"883"	"flc-3"	"Col"	"Col"	"12VarLD"	"12VarLDV"	"3B"	"High"	"V"	16	12	"Var"	"Y"	"Y"	25	36	16	6	15.4	24.7	0.623481781	""
"884"	"flc-3"	"Col"	"Col"	"12VarLD"	"12VarLDV"	"5B"	"Low"	"V"	16	12	"Var"	"Y"	"Y"	26	40	14	4	13.8	22.8	0.605263158	"toothpick missing 5/2"
"885"	"flc-3"	"Col"	"Col"	"12VarLD"	"12VarLDV"	"3B"	"High"	"V"	16	12	"Var"	"Y"	"Y"	27	39	17	5	14.9	25.6	0.58203125	""
"886"	"flc-3"	"Col"	"Col"	"12VarLD"	"12VarLDV"	"3B"	"High"	"V"	16	12	"Var"	"Y"	"Y"	27	38	14	5	18.7	29.3	0.638225256	""
"887"	"flc-3"	"Col"	"Col"	"12VarLD"	"12VarLDV"	"5B"	"Low"	"V"	16	12	"Var"	"Y"	"Y"	27	41	15	5	13.3	23	0.57826087	""
"888"	"flc-3"	"Col"	"Col"	"12VarLD"	"12VarLDV"	"5B"	"Low"	"V"	16	12	"Var"	"Y"	"Y"	28	42	15	4	13.4	24.9	0.53815261	""
"889"	"flc-3"	"Col"	"Col"	"12VarLD"	"12VarLDV"	"5B"	"Low"	"V"	16	12	"Var"	"Y"	"Y"	28	41	16	6	16.3	29.4	0.554421769	""
"890"	"flc-3"	"Col"	"Col"	"12VarLD"	"12VarLDV"	"3B"	"High"	"V"	16	12	"Var"	"Y"	"Y"	29	39	16	5	17.3	29.1	0.594501718	""
"891"	"flc-3"	"Col"	"Col"	"12VarSD"	"12VarSDV"	"4B"	"High"	"V"	8	12	"Var"	"Y"	"Y"	55	71	42	11	27.1	45.1	0.600886918	""
"892"	"flc-3"	"Col"	"Col"	"12VarSD"	"12VarSDV"	"4B"	"High"	"V"	8	12	"Var"	"Y"	"Y"	56	77	37	11	21.7	37.3	0.581769437	""
"893"	"flc-3"	"Col"	"Col"	"12VarSD"	"12VarSDV"	"4B"	"High"	"V"	8	12	"Var"	"Y"	"Y"	60	78	40	12	19.4	34.4	0.563953488	""
"894"	"flc-3"	"Col"	"Col"	"12VarSD"	"12VarSDV"	"4B"	"High"	"V"	8	12	"Var"	"Y"	"Y"	61	82	41	11	21.3	34.7	0.613832853	""
"895"	"flc-3"	"Col"	"Col"	"12VarSD"	"12VarSDV"	"5T"	"Low"	"V"	8	12	"Var"	"Y"	"Y"	62	83	43	12	23.8	43.9	0.54214123	""
"896"	"flc-3"	"Col"	"Col"	"12VarSD"	"12VarSDV"	"5T"	"Low"	"V"	8	12	"Var"	"Y"	"Y"	65	88	45	11	23.3	39.5	0.589873418	""
"897"	"flc-3"	"Col"	"Col"	"12VarSD"	"12VarSDV"	"5T"	"Low"	"V"	8	12	"Var"	"Y"	"Y"	67	88	41	12	24.1	44.7	0.539149888	""
"898"	"flc-3"	"Col"	"Col"	"12VarSD"	"12VarSDV"	"5T"	"Low"	"V"	8	12	"Var"	"Y"	"Y"	69	88	44	11	23.5	44.6	0.52690583	""
"899"	"flc-3"	"Col"	"Col"	"22ConLD"	"22ConLDV"	"2B"	"High"	"V"	16	22	"Con"	"Y"	"Y"	15	22	10	2	NA	12.3	0	""
"900"	"flc-3"	"Col"	"Col"	"22ConLD"	"22ConLDV"	"2B"	"High"	"V"	16	22	"Con"	"Y"	"Y"	16	24	10	2	NA	14	0	""
"901"	"flc-3"	"Col"	"Col"	"22ConLD"	"22ConLDV"	"5B"	"Low"	"V"	16	22	"Con"	"Y"	"Y"	16	23	10	3	NA	NA	NA	""
"902"	"flc-3"	"Col"	"Col"	"22ConLD"	"22ConLDV"	"5B"	"Low"	"V"	16	22	"Con"	"Y"	"Y"	17	25	11	2	NA	NA	NA	""
"903"	"flc-3"	"Col"	"Col"	"22ConLD"	"22ConLDV"	"2B"	"High"	"V"	16	22	"Con"	"Y"	"Y"	18	23	11	3	NA	20.8	0	""
"904"	"flc-3"	"Col"	"Col"	"22ConLD"	"22ConLDV"	"2B"	"High"	"V"	16	22	"Con"	"Y"	"Y"	18	24	11	2	NA	17.2	0	""
"905"	"flc-3"	"Col"	"Col"	"22ConLD"	"22ConLDV"	"5B"	"Low"	"V"	16	22	"Con"	"Y"	"Y"	18	25	10	2	NA	NA	NA	""
"906"	"flc-3"	"Col"	"Col"	"22ConLD"	"22ConLDV"	"5B"	"Low"	"V"	16	22	"Con"	"Y"	"Y"	18	25	11	3	NA	NA	NA	""
"907"	"flc-3"	"Col"	"Col"	"22ConSD"	"22ConSDV"	"4T"	"High"	"V"	8	22	"Con"	"Y"	"Y"	44	50	32	6	NA	NA	NA	""
"908"	"flc-3"	"Col"	"Col"	"22ConSD"	"22ConSDV"	"4T"	"High"	"V"	8	22	"Con"	"Y"	"Y"	45	54	37	10	NA	NA	NA	""
"909"	"flc-3"	"Col"	"Col"	"22ConSD"	"22ConSDV"	"4T"	"High"	"V"	8	22	"Con"	"Y"	"Y"	46	54	35	9	NA	NA	NA	""
"910"	"flc-3"	"Col"	"Col"	"22ConSD"	"22ConSDV"	"4T"	"High"	"V"	8	22	"Con"	"Y"	"Y"	48	55	39	10	NA	NA	NA	""
"911"	"flc-3"	"Col"	"Col"	"22ConSD"	"22ConSDV"	"2T"	"High"	"V"	8	22	"Con"	"Y"	"Y"	49	56	38	7	NA	NA	NA	""
"912"	"flc-3"	"Col"	"Col"	"22ConSD"	"22ConSDV"	"2T"	"High"	"V"	8	22	"Con"	"Y"	"Y"	49	57	37	10	NA	NA	NA	""
"913"	"flc-3"	"Col"	"Col"	"22ConSD"	"22ConSDV"	"2T"	"High"	"V"	8	22	"Con"	"Y"	"Y"	49	55	37	6	NA	NA	NA	""
"914"	"flc-3"	"Col"	"Col"	"22ConSD"	"22ConSDV"	"2T"	"High"	"V"	8	22	"Con"	"Y"	"Y"	49	56	34	8	NA	NA	NA	""
"915"	"flc-3"	"Col"	"Col"	"22ConSD"	"22ConSDV"	"6T"	"Low"	"V"	8	22	"Con"	"Y"	"Y"	52	61	40	9	24.9	43.2	0.576388889	""
"916"	"flc-3"	"Col"	"Col"	"22ConSD"	"22ConSDV"	"6T"	"Low"	"V"	8	22	"Con"	"Y"	"Y"	53	60	40	11	27	45.8	0.589519651	""
"917"	"flc-3"	"Col"	"Col"	"22ConSD"	"22ConSDV"	"6T"	"Low"	"V"	8	22	"Con"	"Y"	"Y"	53	61	37	11	24	45.2	0.530973451	""
"918"	"flc-3"	"Col"	"Col"	"22ConSD"	"22ConSDV"	"6T"	"Low"	"V"	8	22	"Con"	"Y"	"Y"	54	60	37	10	24.6	43.2	0.569444444	""
"919"	"flc-3"	"Col"	"Col"	"22VarLD"	"22VarLDV"	"2T"	"High"	"V"	16	22	"Var"	"Y"	"Y"	17	24	9	1	NA	21.5	0	""
"920"	"flc-3"	"Col"	"Col"	"22VarLD"	"22VarLDV"	"2T"	"High"	"V"	16	22	"Var"	"Y"	"Y"	17	23	10	2	NA	23.4	0	""
"921"	"flc-3"	"Col"	"Col"	"22VarLD"	"22VarLDV"	"2T"	"High"	"V"	16	22	"Var"	"Y"	"Y"	17	23	8	1	NA	16.2	0	""
"922"	"flc-3"	"Col"	"Col"	"22VarLD"	"22VarLDV"	"7B"	"Low"	"V"	16	22	"Var"	"Y"	"Y"	17	25	9	2	NA	NA	NA	""
"923"	"flc-3"	"Col"	"Col"	"22VarLD"	"22VarLDV"	"2T"	"High"	"V"	16	22	"Var"	"Y"	"Y"	18	25	10	2	14.2	26.2	0.541984733	""
"924"	"flc-3"	"Col"	"Col"	"22VarLD"	"22VarLDV"	"7B"	"Low"	"V"	16	22	"Var"	"Y"	"Y"	18	25	10	3	NA	NA	NA	""
"925"	"flc-3"	"Col"	"Col"	"22VarLD"	"22VarLDV"	"7B"	"Low"	"V"	16	22	"Var"	"Y"	"Y"	19	27	10	2	NA	NA	NA	""
"926"	"flc-3"	"Col"	"Col"	"22VarLD"	"22VarLDV"	"7B"	"Low"	"V"	16	22	"Var"	"Y"	"Y"	21	28	11	2	NA	NA	NA	""
"927"	"flc-3"	"Col"	"Col"	"22VarSD"	"22VarSDV"	"3B"	"High"	"V"	8	22	"Var"	"Y"	"Y"	41	48	25	5	NA	NA	NA	""
"928"	"flc-3"	"Col"	"Col"	"22VarSD"	"22VarSDV"	"3B"	"High"	"V"	8	22	"Var"	"Y"	"Y"	42	50	31	6	NA	NA	NA	""
"929"	"flc-3"	"Col"	"Col"	"22VarSD"	"22VarSDV"	"3B"	"High"	"V"	8	22	"Var"	"Y"	"Y"	42	48	26	5	NA	NA	NA	""
"930"	"flc-3"	"Col"	"Col"	"22VarSD"	"22VarSDV"	"6B"	"Low"	"V"	8	22	"Var"	"Y"	"Y"	43	51	22	5	25.8	53.6	0.481343284	""
"931"	"flc-3"	"Col"	"Col"	"22VarSD"	"22VarSDV"	"3B"	"High"	"V"	8	22	"Var"	"Y"	"Y"	44	51	26	6	NA	NA	NA	""
"932"	"flc-3"	"Col"	"Col"	"22VarSD"	"22VarSDV"	"6B"	"Low"	"V"	8	22	"Var"	"Y"	"Y"	48	56	27	7	30.4	55.4	0.548736462	""
"933"	"flc-3"	"Col"	"Col"	"22VarSD"	"22VarSDV"	"6B"	"Low"	"V"	8	22	"Var"	"Y"	"Y"	50	58	28	6	25.9	42.9	0.603729604	""
"934"	"flc-3"	"Col"	"Col"	"22VarSD"	"22VarSDV"	"6B"	"Low"	"V"	8	22	"Var"	"Y"	"Y"	51	57	29	8	25.5	48	0.53125	""
"935"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"4T"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	26	39	10	1	8.2	13.1	0.625954198	""
"936"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"4T"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	27	39	13	4	12.8	20.7	0.618357488	""
"937"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"7B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	28	43	12	4	9	15.5	0.580645161	""
"938"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"4T"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	30	43	15	5	12.6	17.9	0.703910615	""
"939"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"7B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	31	43	13	4	12.8	22.2	0.576576577	""
"940"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"7B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	31	44	12	4	12	21.7	0.552995392	""
"941"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"7B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	31	43	12	3	13.4	23.3	0.575107296	""
"942"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"4T"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	32	44	18	6	13.6	21.8	0.623853211	""
"943"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDNV"	"3T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	66	85	52	9	19.6	35.2	0.556818182	""
"944"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDNV"	"3T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	70	88	49	6	18	30.8	0.584415584	""
"945"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDNV"	"3T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	70	90	50	7	19.4	33.1	0.586102719	""
"946"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDNV"	"3T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	73	90	46	6	19.7	32.8	0.600609756	""
"947"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDNV"	"7T"	"Low"	"NV"	8	12	"Con"	"Y"	"Y"	82	105	55	7	20.1	30.6	0.656862745	""
"948"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDNV"	"7T"	"Low"	"NV"	8	12	"Con"	"Y"	"Y"	89	109	59	10	23.8	37.8	0.62962963	""
"949"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDNV"	"7T"	"Low"	"NV"	8	12	"Con"	"Y"	"Y"	90	111	59	12	31.4	49.7	0.631790744	""
"950"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDNV"	"7T"	"Low"	"NV"	8	12	"Con"	"Y"	"Y"	92	112	53	10	20.4	35.3	0.577903683	""
"951"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarLD"	"12VarLDNV"	"3B"	"High"	"NV"	16	12	"Var"	"Y"	"Y"	29	42	13	3	11.7	17.2	0.680232558	""
"952"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarLD"	"12VarLDNV"	"3B"	"High"	"NV"	16	12	"Var"	"Y"	"Y"	30	42	15	5	14.3	23.8	0.600840336	""
"953"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarLD"	"12VarLDNV"	"3B"	"High"	"NV"	16	12	"Var"	"Y"	"Y"	31	43	17	5	14.7	25.4	0.578740157	""
"954"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarLD"	"12VarLDNV"	"5B"	"Low"	"NV"	16	12	"Var"	"Y"	"Y"	32	44	15	4	15.2	27.3	0.556776557	""
"955"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarLD"	"12VarLDNV"	"5B"	"Low"	"NV"	16	12	"Var"	"Y"	"Y"	32	46	16	4	19.2	20.5	0.936585366	""
"956"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarLD"	"12VarLDNV"	"5B"	"Low"	"NV"	16	12	"Var"	"Y"	"Y"	32	45	15	5	15.7	25.7	0.610894942	""
"957"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarLD"	"12VarLDNV"	"3B"	"High"	"NV"	16	12	"Var"	"Y"	"Y"	33	44	18	5	15.4	25.3	0.608695652	""
"958"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarLD"	"12VarLDNV"	"5B"	"Low"	"NV"	16	12	"Var"	"Y"	"Y"	34	46	16	5	15.8	29.5	0.53559322	""
"959"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarSD"	"12VarSDNV"	"4B"	"High"	"NV"	8	12	"Var"	"Y"	"Y"	68	87	47	9	22.8	37.8	0.603174603	""
"960"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarSD"	"12VarSDNV"	"4B"	"High"	"NV"	8	12	"Var"	"Y"	"Y"	69	89	44	8	19.8	33.9	0.584070796	""
"961"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarSD"	"12VarSDNV"	"4B"	"High"	"NV"	8	12	"Var"	"Y"	"Y"	69	89	47	8	21.1	35.3	0.597733711	""
"962"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarSD"	"12VarSDNV"	"4B"	"High"	"NV"	8	12	"Var"	"Y"	"Y"	73	92	56	9	28	49.3	0.567951318	""
"963"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarSD"	"12VarSDNV"	"5T"	"Low"	"NV"	8	12	"Var"	"Y"	"Y"	76	93	46	8	23	40.3	0.570719603	""
"964"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarSD"	"12VarSDNV"	"5T"	"Low"	"NV"	8	12	"Var"	"Y"	"Y"	77	97	49	8	22.1	32.5	0.68	""
"965"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarSD"	"12VarSDNV"	"5T"	"Low"	"NV"	8	12	"Var"	"Y"	"Y"	78	102	54	5	21.1	36.4	0.57967033	""
"966"	"flc-3 FRI"	"Col FRI"	"Col"	"12VarSD"	"12VarSDNV"	"5T"	"Low"	"NV"	8	12	"Var"	"Y"	"Y"	79	99	50	7	25.1	41.6	0.603365385	""
"967"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDNV"	"2B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	17	23	9	2	NA	15.2	0	""
"968"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDNV"	"2B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	18	24	9	3	NA	16.8	0	""
"969"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDNV"	"2B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	18	24	8	3	NA	19.1	0	""
"970"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDNV"	"2B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	18	23	7	2	NA	15.8	0	""
"971"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDNV"	"5B"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	18	26	11	3	NA	NA	NA	""
"972"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDNV"	"5B"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	18	26	11	3	NA	NA	NA	""
"973"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDNV"	"5B"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	19	25	11	3	NA	NA	NA	""
"974"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDNV"	"5B"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	20	27	11	3	NA	NA	NA	""
"975"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDNV"	"4T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	54	61	37	9	NA	NA	NA	""
"976"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDNV"	"4T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	55	63	38	8	NA	NA	NA	""
"977"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDNV"	"4T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	55	63	42	9	NA	NA	NA	""
"978"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDNV"	"4T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	55	61	40	7	NA	NA	NA	""
"979"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDNV"	"6T"	"Low"	"NV"	8	22	"Con"	"Y"	"Y"	57	65	41	7	31.7	47.4	0.668776371	""
"980"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	58	65	40	9	NA	NA	NA	""
"981"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	58	64	41	11	NA	NA	NA	""
"982"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDNV"	"6T"	"Low"	"NV"	8	22	"Con"	"Y"	"Y"	59	66	42	7	23.3	40.4	0.576732673	""
"983"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	59	65	39	10	NA	NA	NA	""
"984"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	59	66	39	11	NA	NA	NA	""
"985"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDNV"	"6T"	"Low"	"NV"	8	22	"Con"	"Y"	"Y"	62	68	42	9	24.8	33.9	0.731563422	""
"986"	"flc-3 FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDNV"	"6T"	"Low"	"NV"	8	22	"Con"	"Y"	"Y"	65	72	49	8	27.7	43.6	0.635321101	""
"987"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDNV"	"2T"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	17	25	7	2	NA	17.97	0	"2 rosette leaves small and thin could be secondary"
"988"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDNV"	"2T"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	17	25	8	1	NA	17	0	""
"989"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDNV"	"2T"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	18	26	8	1	11.2	19.2	0.583333333	""
"990"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDNV"	"2T"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	18	26	8	2	11.1	19.5	0.569230769	"one small R leaf"
"991"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDNV"	"7B"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	18	27	9	2	NA	NA	NA	""
"992"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDNV"	"7B"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	18	25	5	2	NA	NA	NA	""
"993"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDNV"	"7B"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	18	25	7	2	NA	NA	NA	""
"994"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDNV"	"7B"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	19	27	7	2	NA	NA	NA	""
"995"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDNV"	"3B"	"High"	"NV"	8	22	"Var"	"Y"	"Y"	46	53	26	5	NA	NA	NA	""
"996"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDNV"	"6B"	"Low"	"NV"	8	22	"Var"	"Y"	"Y"	47	56	22	4	26.3	49.7	0.52917505	"tons of secondary at bolt"
"997"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDNV"	"3B"	"High"	"NV"	8	22	"Var"	"Y"	"Y"	48	56	28	7	NA	NA	NA	""
"998"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDNV"	"6B"	"Low"	"NV"	8	22	"Var"	"Y"	"Y"	50	57	24	5	25.5	39.4	0.647208122	""
"999"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDNV"	"3B"	"High"	"NV"	8	22	"Var"	"Y"	"Y"	50	60	21	3	NA	NA	NA	""
"1000"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDNV"	"6B"	"Low"	"NV"	8	22	"Var"	"Y"	"Y"	52	59	20	5	24.6	50.5	0.487128713	""
"1001"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDNV"	"6B"	"Low"	"NV"	8	22	"Var"	"Y"	"Y"	54	62	24	6	22.8	51.9	0.439306358	"5 secondary at bolt"
"1002"	"flc-3 FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDNV"	"3B"	"High"	"NV"	8	22	"Var"	"Y"	"Y"	54	62	32	7	NA	NA	NA	""
"1003"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDV"	"4T"	"High"	"V"	16	12	"Con"	"Y"	"Y"	25	38	19	6	13.3	23.9	0.556485356	""
"1004"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDV"	"4T"	"High"	"V"	16	12	"Con"	"Y"	"Y"	25	37	13	5	12.6	20.1	0.626865672	""
"1005"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDV"	"4T"	"High"	"V"	16	12	"Con"	"Y"	"Y"	25	38	17	6	13.6	20.9	0.650717703	""
"1006"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDV"	"7B"	"Low"	"V"	16	12	"Con"	"Y"	"Y"	26	40	14	4	13	21	0.619047619	""
"1007"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDV"	"7B"	"Low"	"V"	16	12	"Con"	"Y"	"Y"	26	39	14	4	11.7	20.5	0.570731707	""
"1008"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDV"	"4T"	"High"	"V"	16	12	"Con"	"Y"	"Y"	26	39	18	5	15.8	26.4	0.598484848	""
"1009"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDV"	"7B"	"Low"	"V"	16	12	"Con"	"Y"	"Y"	27	39	12	5	16.3	28.4	0.573943662	"back-date one day"
"1010"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDV"	"7B"	"Low"	"V"	16	12	"Con"	"Y"	"Y"	29	42	16	4	12.8	19.8	0.646464646	""
"1011"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDV"	"3T"	"High"	"V"	8	12	"Con"	"Y"	"Y"	59	78	41	11	13	31.6	0.411392405	""
"1012"	"flc-3 FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDV"	"3T"	"High"	"V"	8	12	"Con"	"Y"	"Y"	59	76	46	10	19.7	33.1	0.595166163	""
